"","stimuliShown","stim1","stim2","pair_type","response","reward","ID","participant","stim_chosen","typeOfChoice","highChosen","riskChosen","forced","choices","win","correct","risky","trial","trial_cont","trial_id","block_soc","trial_n","trigger_integer","eye_choice","left_rew_dbl","right_rew_dbl"
"23",13,1,3,"different","0",29,"sub-003","sub-003",1,2,1,NA,0,1,NA,1,NA,27,27,27,"baseline",27,13,"0",29,44
"24",14,1,4,"different","1",35,"sub-003","sub-003",4,3,0,NA,0,0,NA,0,NA,28,28,28,"baseline",28,14,"1",84,35
"25",42,4,2,"different","0",35,"sub-003","sub-003",4,5,0,NA,0,1,NA,0,NA,29,29,29,"baseline",29,42,"0",35,57
"26",14,1,4,"different","1",39,"sub-003","sub-003",4,3,0,NA,0,0,NA,0,NA,30,30,30,"baseline",30,14,"1",79,39
"27",24,2,4,"different","1",49,"sub-003","sub-003",4,5,0,NA,0,0,NA,0,NA,31,31,31,"baseline",31,24,"1",70,49
"28",14,1,4,"different","1",38,"sub-003","sub-003",4,3,0,NA,0,0,NA,0,NA,32,32,32,"baseline",32,14,"1",38,38
"29",21,2,1,"both_high","0",62,"sub-003","sub-003",2,1,NA,0,0,1,1,NA,0,33,33,33,"baseline",33,21,"0",62,60
"30",34,3,4,"both_low","0",37,"sub-003","sub-003",3,6,NA,1,0,1,-1,NA,1,34,34,34,"baseline",34,34,"0",37,34
"31",23,2,3,"different","1",30,"sub-003","sub-003",3,4,0,NA,0,0,NA,0,NA,35,35,35,"baseline",35,23,"1",59,30
"32",34,3,4,"both_low","1",31,"sub-003","sub-003",4,6,NA,0,0,0,-1,NA,0,36,36,36,"baseline",36,34,"1",43,31
"33",13,1,3,"different","0",68,"sub-003","sub-003",1,2,1,NA,0,1,NA,1,NA,37,37,37,"baseline",37,13,"0",68,29
"34",31,3,1,"different","1",89,"sub-003","sub-003",1,2,1,NA,0,0,NA,1,NA,38,38,38,"baseline",38,31,"1",57,89
"35",13,1,3,"different","1",58,"sub-003","sub-003",3,2,0,NA,0,0,NA,0,NA,39,39,39,"baseline",39,13,"1",43,58
"36",32,3,2,"different","0",50,"sub-003","sub-003",3,4,0,NA,0,1,NA,0,NA,40,40,40,"baseline",40,32,"0",50,64
"37",12,1,2,"both_high","0",31,"sub-003","sub-003",1,1,NA,1,0,1,1,NA,1,41,41,41,"baseline",41,12,"0",31,57
"38",24,2,4,"different","0",70,"sub-003","sub-003",2,5,1,NA,0,1,NA,1,NA,42,42,42,"baseline",42,24,"0",70,36
"39",41,4,1,"different","1",83,"sub-003","sub-003",1,3,1,NA,0,0,NA,1,NA,43,43,43,"baseline",43,41,"1",29,83
"40",34,3,4,"both_low","1",41,"sub-003","sub-003",4,6,NA,0,0,0,-1,NA,0,44,44,44,"baseline",44,34,"1",25,41
"41",12,1,2,"both_high","1",61,"sub-003","sub-003",2,1,NA,0,0,0,1,NA,0,45,45,45,"baseline",45,12,"1",51,61
"42",34,3,4,"both_low","1",42,"sub-003","sub-003",4,6,NA,0,0,0,-1,NA,0,47,47,47,"baseline",47,34,"1",38,42
"43",42,4,2,"different","1",65,"sub-003","sub-003",2,5,1,NA,0,0,NA,1,NA,53,53,53,"baseline",53,42,"1",46,65
"44",34,3,4,"both_low","1",39,"sub-003","sub-003",4,6,NA,0,0,0,-1,NA,0,54,54,54,"baseline",54,34,"1",36,39
"45",34,3,4,"both_low","1",46,"sub-003","sub-003",4,6,NA,0,0,0,-1,NA,0,55,55,55,"baseline",55,34,"1",7,46
"46",32,3,2,"different","1",64,"sub-003","sub-003",2,4,1,NA,0,0,NA,1,NA,56,56,56,"baseline",56,32,"1",39,64
"47",32,3,2,"different","1",55,"sub-003","sub-003",2,4,1,NA,0,0,NA,1,NA,57,57,57,"baseline",57,32,"1",71,55
"48",24,2,4,"different","1",44,"sub-003","sub-003",4,5,0,NA,0,0,NA,0,NA,58,58,58,"baseline",58,24,"1",59,44
"49",13,1,3,"different","1",63,"sub-003","sub-003",3,2,0,NA,0,0,NA,0,NA,59,59,59,"baseline",59,13,"1",65,63
"50",32,3,2,"different","1",65,"sub-003","sub-003",2,4,1,NA,0,0,NA,1,NA,60,60,60,"baseline",60,32,"1",23,65
"51",13,1,3,"different","1",59,"sub-003","sub-003",3,2,0,NA,0,0,NA,0,NA,61,61,61,"baseline",61,13,"1",52,59
"52",31,3,1,"different","1",80,"sub-003","sub-003",1,2,1,NA,0,0,NA,1,NA,62,62,62,"baseline",62,31,"1",38,80
"53",24,2,4,"different","1",39,"sub-003","sub-003",4,5,0,NA,0,0,NA,0,NA,63,63,63,"baseline",63,24,"1",68,39
"54",21,2,1,"both_high","1",59,"sub-003","sub-003",1,1,NA,1,0,0,1,NA,1,64,64,64,"baseline",64,21,"1",54,59
"55",31,3,1,"different","0",23,"sub-003","sub-003",3,2,0,NA,0,1,NA,0,NA,65,65,65,"baseline",65,31,"0",23,34
"56",32,3,2,"different","0",41,"sub-003","sub-003",3,4,0,NA,0,1,NA,0,NA,66,66,66,"baseline",66,32,"0",41,63
"57",42,4,2,"different","1",62,"sub-003","sub-003",2,5,1,NA,0,0,NA,1,NA,67,67,67,"baseline",67,42,"1",37,62
"58",41,4,1,"different","1",48,"sub-003","sub-003",1,3,1,NA,0,0,NA,1,NA,71,71,71,"baseline",71,41,"1",33,48
"59",31,3,1,"different","0",25,"sub-003","sub-003",3,2,0,NA,0,1,NA,0,NA,72,72,72,"baseline",72,31,"0",25,65
"60",43,4,3,"both_low","1",36,"sub-003","sub-003",3,6,NA,1,0,0,-1,NA,1,73,73,73,"baseline",73,43,"1",45,36
"61",12,1,2,"both_high","1",58,"sub-003","sub-003",2,1,NA,0,0,0,1,NA,0,74,74,74,"baseline",74,12,"1",48,58
"62",43,4,3,"both_low","1",20,"sub-003","sub-003",3,6,NA,1,0,0,-1,NA,1,75,75,75,"baseline",75,43,"1",49,20
"63",23,2,3,"different","1",18,"sub-003","sub-003",3,4,0,NA,0,0,NA,0,NA,76,76,76,"baseline",76,23,"1",62,18
"64",41,4,1,"different","1",58,"sub-003","sub-003",1,3,1,NA,0,0,NA,1,NA,77,77,77,"baseline",77,41,"1",31,58
"65",13,1,3,"different","1",64,"sub-003","sub-003",3,2,0,NA,0,0,NA,0,NA,78,78,78,"baseline",78,13,"1",67,64
"66",41,4,1,"different","0",42,"sub-003","sub-003",4,3,0,NA,0,1,NA,0,NA,79,79,79,"baseline",79,41,"0",42,57
"67",34,3,4,"both_low","1",47,"sub-003","sub-003",4,6,NA,0,0,0,-1,NA,0,80,80,80,"baseline",80,34,"1",37,47
"68",34,3,4,"both_low","1",30,"sub-003","sub-003",4,6,NA,0,0,0,-1,NA,0,81,81,81,"baseline",81,34,"1",12,30
"69",21,2,1,"both_high","0",67,"sub-003","sub-003",2,1,NA,0,0,1,1,NA,0,82,82,82,"baseline",82,21,"0",67,43
"70",14,1,4,"different","1",32,"sub-003","sub-003",4,3,0,NA,0,0,NA,0,NA,83,83,83,"baseline",83,14,"1",56,32
"71",32,3,2,"different","1",60,"sub-003","sub-003",2,4,1,NA,0,0,NA,1,NA,84,84,84,"baseline",84,32,"1",67,60
"72",31,3,1,"different","1",77,"sub-003","sub-003",1,2,1,NA,0,0,NA,1,NA,86,86,86,"baseline",86,31,"1",24,77
"73",32,3,2,"different","1",61,"sub-003","sub-003",2,4,1,NA,0,0,NA,1,NA,87,87,87,"baseline",87,32,"1",50,61
"74",12,1,2,"both_high","1",63,"sub-003","sub-003",2,1,NA,0,0,0,1,NA,0,88,88,88,"baseline",88,12,"1",87,63
"75",21,2,1,"both_high","1",64,"sub-003","sub-003",1,1,NA,1,0,0,1,NA,1,89,89,89,"baseline",89,21,"1",68,64
"76",12,1,2,"both_high","1",63,"sub-003","sub-003",2,1,NA,0,0,0,1,NA,0,90,90,90,"baseline",90,12,"1",61,63
"77",23,2,3,"different","0",57,"sub-003","sub-003",2,4,1,NA,0,1,NA,1,NA,91,91,91,"baseline",91,23,"0",57,46
"78",41,4,1,"different","0",44,"sub-003","sub-003",4,3,0,NA,0,1,NA,0,NA,92,92,92,"baseline",92,41,"0",44,73
"79",42,4,2,"different","0",37,"sub-003","sub-003",4,5,0,NA,0,1,NA,0,NA,93,93,93,"baseline",93,42,"0",37,67
"80",23,2,3,"different","1",27,"sub-003","sub-003",3,4,0,NA,0,0,NA,0,NA,94,94,94,"baseline",94,23,"1",66,27
"81",43,4,3,"both_low","1",42,"sub-003","sub-003",3,6,NA,1,0,0,-1,NA,1,95,95,95,"baseline",95,43,"1",44,42
"82",23,2,3,"different","0",54,"sub-003","sub-003",2,4,1,NA,0,1,NA,1,NA,96,96,96,"baseline",96,23,"0",54,31
"83",14,1,4,"different","0",77,"sub-003","sub-003",1,3,1,NA,0,1,NA,1,NA,97,97,97,"baseline",97,14,"0",77,31
"84",13,1,3,"different","0",57,"sub-003","sub-003",1,2,1,NA,0,1,NA,1,NA,98,98,98,"baseline",98,13,"0",57,34
"85",42,4,2,"different","0",37,"sub-003","sub-003",4,5,0,NA,0,1,NA,0,NA,99,99,99,"baseline",99,42,"0",37,57
"86",12,1,2,"both_high","1",50,"sub-003","sub-003",2,1,NA,0,0,0,1,NA,0,100,100,100,"baseline",100,12,"1",66,50
"87",41,4,1,"different","1",73,"sub-003","sub-003",1,3,1,NA,0,0,NA,1,NA,101,101,101,"baseline",101,41,"1",32,73
"88",23,2,3,"different","0",66,"sub-003","sub-003",2,4,1,NA,0,1,NA,1,NA,102,102,102,"baseline",102,23,"0",66,61
"89",24,2,4,"different","1",38,"sub-003","sub-003",4,5,0,NA,0,0,NA,0,NA,103,103,103,"baseline",103,24,"1",62,38
"90",14,1,4,"different","1",41,"sub-003","sub-003",4,3,0,NA,0,0,NA,0,NA,104,104,104,"baseline",104,14,"1",91,41
"91",43,4,3,"both_low","1",18,"sub-003","sub-003",3,6,NA,1,0,0,-1,NA,1,105,105,105,"baseline",105,43,"1",46,18
"92",34,3,4,"both_low","1",50,"sub-003","sub-003",4,6,NA,0,0,0,-1,NA,0,106,106,106,"baseline",106,34,"1",22,50
"93",31,3,1,"different","1",81,"sub-003","sub-003",1,2,1,NA,0,0,NA,1,NA,107,107,107,"baseline",107,31,"1",46,81
"94",43,4,3,"both_low","1",49,"sub-003","sub-003",3,6,NA,1,0,0,-1,NA,1,108,108,108,"baseline",108,43,"1",36,49
"95",31,3,1,"different","1",38,"sub-003","sub-003",1,2,1,NA,0,0,NA,1,NA,109,109,109,"baseline",109,31,"1",21,38
"96",21,2,1,"both_high","1",59,"sub-003","sub-003",1,1,NA,1,0,0,1,NA,1,110,110,110,"baseline",110,21,"1",68,59
"97",42,4,2,"different","0",38,"sub-003","sub-003",4,5,0,NA,0,1,NA,0,NA,111,111,111,"baseline",111,42,"0",38,54
"98",43,4,3,"both_low","0",36,"sub-003","sub-003",4,6,NA,0,0,1,-1,NA,0,112,112,112,"baseline",112,43,"0",36,43
"99",34,3,4,"both_low","1",42,"sub-003","sub-003",4,6,NA,0,0,0,-1,NA,0,114,114,114,"baseline",114,34,"1",66,42
"100",43,4,3,"both_low","1",44,"sub-003","sub-003",3,6,NA,1,0,0,-1,NA,1,115,115,115,"baseline",115,43,"1",48,44
"101",14,1,4,"different","1",40,"sub-003","sub-003",4,3,0,NA,0,0,NA,0,NA,116,116,116,"baseline",116,14,"1",61,40
"102",13,1,3,"different","0",42,"sub-003","sub-003",1,2,1,NA,0,1,NA,1,NA,117,117,117,"baseline",117,13,"0",42,48
"103",24,2,4,"different","1",32,"sub-003","sub-003",4,5,0,NA,0,0,NA,0,NA,118,118,118,"baseline",118,24,"1",52,32
"104",42,4,2,"different","1",58,"sub-003","sub-003",2,5,1,NA,0,0,NA,1,NA,119,119,119,"baseline",119,42,"1",34,58
"105",21,2,1,"both_high","0",51,"sub-003","sub-003",2,1,NA,0,0,1,1,NA,0,120,120,120,"baseline",120,21,"0",51,58
"106",41,4,1,"different","1",41,"sub-003","sub-003",1,3,1,NA,0,0,NA,1,NA,121,121,121,"baseline",121,41,"1",43,41
"107",13,1,3,"different","1",33,"sub-003","sub-003",3,2,0,NA,0,0,NA,0,NA,122,122,122,"baseline",122,13,"1",49,33
"108",24,2,4,"different","1",40,"sub-003","sub-003",4,5,0,NA,0,0,NA,0,NA,123,123,123,"baseline",123,24,"1",55,40
"109",43,4,3,"both_low","1",42,"sub-003","sub-003",3,6,NA,1,0,0,-1,NA,1,124,124,124,"baseline",124,43,"1",40,42
"110",23,2,3,"different","1",62,"sub-003","sub-003",3,4,0,NA,0,0,NA,0,NA,125,125,125,"baseline",125,23,"1",59,62
"111",23,2,3,"different","0",55,"sub-003","sub-003",2,4,1,NA,0,1,NA,1,NA,126,126,126,"baseline",126,23,"0",55,35
"112",21,2,1,"both_high","1",60,"sub-003","sub-003",1,1,NA,1,0,0,1,NA,1,127,127,127,"baseline",127,21,"1",60,60
"113",43,4,3,"both_low","1",62,"sub-003","sub-003",3,6,NA,1,0,0,-1,NA,1,128,128,128,"baseline",128,43,"1",43,62
"114",23,2,3,"different","0",63,"sub-003","sub-003",2,4,1,NA,0,1,NA,1,NA,129,129,129,"baseline",129,23,"0",63,26
"115",41,4,1,"different","1",63,"sub-003","sub-003",1,3,1,NA,0,0,NA,1,NA,130,130,130,"baseline",130,41,"1",43,63
"116",12,1,2,"both_high","0",45,"sub-003","sub-003",1,1,NA,1,0,1,1,NA,1,131,131,131,"baseline",131,12,"0",45,59
"117",13,1,3,"different","0",82,"sub-003","sub-003",1,2,1,NA,0,1,NA,1,NA,132,132,132,"baseline",132,13,"0",82,53
"118",32,3,2,"different","1",64,"sub-003","sub-003",2,4,1,NA,0,0,NA,1,NA,133,133,133,"baseline",133,32,"1",73,64
"119",43,4,3,"both_low","1",32,"sub-003","sub-003",3,6,NA,1,0,0,-1,NA,1,134,134,134,"baseline",134,43,"1",45,32
"120",14,1,4,"different","1",34,"sub-003","sub-003",4,3,0,NA,0,0,NA,0,NA,135,135,135,"baseline",135,14,"1",52,34
"121",43,4,3,"both_low","1",55,"sub-003","sub-003",3,6,NA,1,0,0,-1,NA,1,137,137,137,"baseline",137,43,"1",45,55
"122",24,2,4,"different","1",51,"sub-003","sub-003",4,5,0,NA,0,0,NA,0,NA,138,138,138,"baseline",138,24,"1",58,51
"123",21,2,1,"both_high","1",27,"sub-003","sub-003",1,1,NA,1,0,0,1,NA,1,139,139,139,"baseline",139,21,"1",61,27
"124",24,2,4,"different","1",41,"sub-003","sub-003",4,5,0,NA,0,0,NA,0,NA,140,140,140,"baseline",140,24,"1",51,41
"125",24,2,4,"different","1",35,"sub-003","sub-003",4,5,0,NA,0,0,NA,0,NA,141,141,141,"baseline",141,24,"1",65,35
"126",21,2,1,"both_high","1",70,"sub-003","sub-003",1,1,NA,1,0,0,1,NA,1,142,142,142,"baseline",142,21,"1",71,70
"127",31,3,1,"different","1",71,"sub-003","sub-003",1,2,1,NA,0,0,NA,1,NA,143,143,143,"baseline",143,31,"1",55,71
"128",43,4,3,"both_low","1",16,"sub-003","sub-003",3,6,NA,1,0,0,-1,NA,1,144,144,144,"baseline",144,43,"1",34,16
"129",32,3,2,"different","1",62,"sub-003","sub-003",2,4,1,NA,0,0,NA,1,NA,145,145,145,"baseline",145,32,"1",35,62
"130",32,3,2,"different","1",72,"sub-003","sub-003",2,4,1,NA,0,0,NA,1,NA,146,146,146,"baseline",146,32,"1",49,72
"131",43,4,3,"both_low","0",36,"sub-003","sub-003",4,6,NA,0,0,1,-1,NA,0,147,147,147,"baseline",147,43,"0",36,11
"132",31,3,1,"different","0",56,"sub-003","sub-003",3,2,0,NA,0,1,NA,0,NA,148,148,148,"baseline",148,31,"0",56,56
"133",24,2,4,"different","1",38,"sub-003","sub-003",4,5,0,NA,0,0,NA,0,NA,149,149,149,"baseline",149,24,"1",53,38
"134",21,2,1,"both_high","1",53,"sub-003","sub-003",1,1,NA,1,0,0,1,NA,1,150,150,150,"baseline",150,21,"1",56,53
"135",41,4,1,"different","1",69,"sub-003","sub-003",1,3,1,NA,0,0,NA,1,NA,151,151,151,"baseline",151,41,"1",43,69
"136",42,4,2,"different","1",56,"sub-003","sub-003",2,5,1,NA,0,0,NA,1,NA,152,152,152,"baseline",152,42,"1",38,56
"137",42,4,2,"different","0",48,"sub-003","sub-003",4,5,0,NA,0,1,NA,0,NA,153,153,153,"baseline",153,42,"0",48,53
"138",32,3,2,"different","0",41,"sub-003","sub-003",3,4,0,NA,0,1,NA,0,NA,154,154,154,"baseline",154,32,"0",41,60
"139",23,2,3,"different","1",19,"sub-003","sub-003",3,4,0,NA,0,0,NA,0,NA,155,155,155,"baseline",155,23,"1",54,19
"140",13,1,3,"different","1",40,"sub-003","sub-003",3,2,0,NA,0,0,NA,0,NA,156,156,156,"baseline",156,13,"1",68,40
"141",34,3,4,"both_low","1",39,"sub-003","sub-003",4,6,NA,0,0,0,-1,NA,0,157,157,157,"baseline",157,34,"1",28,39
"142",14,1,4,"different","0",54,"sub-003","sub-003",1,3,1,NA,0,1,NA,1,NA,158,158,158,"baseline",158,14,"0",54,42
"143",14,1,4,"different","0",55,"sub-003","sub-003",1,3,1,NA,0,1,NA,1,NA,159,159,159,"baseline",159,14,"0",55,39
"144",12,1,2,"both_high","1",56,"sub-003","sub-003",2,1,NA,0,0,0,1,NA,0,160,160,160,"baseline",160,12,"1",72,56
"145",23,2,3,"different","1",69,"sub-003","sub-003",3,4,0,NA,0,0,NA,0,NA,161,161,161,"baseline",161,23,"1",49,69
"146",34,3,4,"both_low","0",68,"sub-003","sub-003",3,6,NA,1,0,1,-1,NA,1,162,162,162,"baseline",162,34,"0",68,33
"147",14,1,4,"different","1",42,"sub-003","sub-003",4,3,0,NA,0,0,NA,0,NA,163,163,163,"baseline",163,14,"1",32,42
"148",43,4,3,"both_low","1",34,"sub-003","sub-003",3,6,NA,1,0,0,-1,NA,1,164,164,164,"baseline",164,43,"1",49,34
"149",23,2,3,"different","1",40,"sub-003","sub-003",3,4,0,NA,0,0,NA,0,NA,165,165,165,"baseline",165,23,"1",61,40
"150",31,3,1,"different","1",33,"sub-003","sub-003",1,2,1,NA,0,0,NA,1,NA,166,166,166,"baseline",166,31,"1",31,33
"151",12,1,2,"both_high","1",59,"sub-003","sub-003",2,1,NA,0,0,0,1,NA,0,167,167,167,"baseline",167,12,"1",93,59
"152",41,4,1,"different","1",70,"sub-003","sub-003",1,3,1,NA,0,0,NA,1,NA,168,168,168,"baseline",168,41,"1",46,70
"153",21,2,1,"both_high","1",62,"sub-003","sub-003",1,1,NA,1,0,0,1,NA,1,169,169,169,"baseline",169,21,"1",58,62
"154",32,3,2,"different","1",50,"sub-003","sub-003",2,4,1,NA,0,0,NA,1,NA,170,170,170,"baseline",170,32,"1",39,50
"155",24,2,4,"different","1",41,"sub-003","sub-003",4,5,0,NA,0,0,NA,0,NA,171,171,171,"baseline",171,24,"1",66,41
"156",42,4,2,"different","0",43,"sub-003","sub-003",4,5,0,NA,0,1,NA,0,NA,172,172,172,"baseline",172,42,"0",43,67
"157",24,2,4,"different","1",30,"sub-003","sub-003",4,5,0,NA,0,0,NA,0,NA,173,173,173,"baseline",173,24,"1",56,30
"158",23,2,3,"different","1",9,"sub-003","sub-003",3,4,0,NA,0,0,NA,0,NA,174,174,174,"baseline",174,23,"1",55,9
"159",31,3,1,"different","1",82,"sub-003","sub-003",1,2,1,NA,0,0,NA,1,NA,175,175,175,"baseline",175,31,"1",28,82
"160",32,3,2,"different","1",69,"sub-003","sub-003",2,4,1,NA,0,0,NA,1,NA,176,176,176,"baseline",176,32,"1",52,69
"161",34,3,4,"both_low","1",28,"sub-003","sub-003",4,6,NA,0,0,0,-1,NA,0,177,177,177,"baseline",177,34,"1",57,28
"162",42,4,2,"different","1",52,"sub-003","sub-003",2,5,1,NA,0,0,NA,1,NA,178,178,178,"baseline",178,42,"1",40,52
"163",41,4,1,"different","1",45,"sub-003","sub-003",1,3,1,NA,0,0,NA,1,NA,179,179,179,"baseline",179,41,"1",36,45
"164",12,1,2,"both_high","0",39,"sub-003","sub-003",1,1,NA,1,0,1,1,NA,1,180,180,180,"baseline",180,12,"0",39,57
"165",43,4,3,"both_low","1",67,"sub-003","sub-003",3,6,NA,1,0,0,-1,NA,1,1,1,181,"out-group",1,43,"1",37,67
"166",42,4,2,"different","1",55,"sub-003","sub-003",2,5,1,NA,0,0,NA,1,NA,2,2,182,"out-group",2,42,"1",47,55
"167",21,2,1,"both_high","1",42,"sub-003","sub-003",1,1,NA,1,0,0,1,NA,1,5,5,185,"out-group",5,21,"1",63,42
"168",24,2,4,"different","0",55,"sub-003","sub-003",2,5,1,NA,0,1,NA,1,NA,6,6,186,"out-group",6,24,"0",55,42
"169",41,4,1,"different","1",54,"sub-003","sub-003",1,3,1,NA,0,0,NA,1,NA,7,7,187,"out-group",7,41,"1",47,54
"170",32,3,2,"different","1",71,"sub-003","sub-003",2,4,1,NA,0,0,NA,1,NA,8,8,188,"out-group",8,32,"1",29,71
"171",41,4,1,"different","1",77,"sub-003","sub-003",1,3,1,NA,0,0,NA,1,NA,10,10,190,"out-group",10,41,"1",47,77
"172",31,3,1,"different","0",69,"sub-003","sub-003",3,2,0,NA,0,1,NA,0,NA,11,11,191,"out-group",11,31,"0",69,62
"173",14,1,4,"different","1",36,"sub-003","sub-003",4,3,0,NA,0,0,NA,0,NA,12,12,192,"out-group",12,14,"1",65,36
"174",24,2,4,"different","1",37,"sub-003","sub-003",4,5,0,NA,0,0,NA,0,NA,13,13,193,"out-group",13,24,"1",60,37
"175",42,4,2,"different","1",56,"sub-003","sub-003",2,5,1,NA,0,0,NA,1,NA,14,14,194,"out-group",14,42,"1",34,56
"176",31,3,1,"different","0",37,"sub-003","sub-003",3,2,0,NA,0,1,NA,0,NA,15,15,195,"out-group",15,31,"0",37,72
"177",41,4,1,"different","0",29,"sub-003","sub-003",4,3,0,NA,0,1,NA,0,NA,16,16,196,"out-group",16,41,"0",29,43
"178",13,1,3,"different","1",35,"sub-003","sub-003",3,2,0,NA,0,0,NA,0,NA,17,17,197,"out-group",17,13,"1",64,35
"179",31,3,1,"different","1",70,"sub-003","sub-003",1,2,1,NA,0,0,NA,1,NA,18,18,198,"out-group",18,31,"1",19,70
"180",24,2,4,"different","0",64,"sub-003","sub-003",2,5,1,NA,0,1,NA,1,NA,19,19,199,"out-group",19,24,"0",64,41
"181",23,2,3,"different","1",37,"sub-003","sub-003",3,4,0,NA,0,0,NA,0,NA,20,20,200,"out-group",20,23,"1",57,37
"182",13,1,3,"different","0",48,"sub-003","sub-003",1,2,1,NA,0,1,NA,1,NA,21,21,201,"out-group",21,13,"0",48,55
"183",14,1,4,"different","1",50,"sub-003","sub-003",4,3,0,NA,0,0,NA,0,NA,22,22,202,"out-group",22,14,"1",43,50
"184",32,3,2,"different","0",34,"sub-003","sub-003",3,4,0,NA,0,1,NA,0,NA,25,25,205,"out-group",25,32,"0",34,66
"185",14,1,4,"different","1",40,"sub-003","sub-003",4,3,0,NA,0,0,NA,0,NA,26,26,206,"out-group",26,14,"1",87,40
"186",23,2,3,"different","1",62,"sub-003","sub-003",3,4,0,NA,0,0,NA,0,NA,27,27,207,"out-group",27,23,"1",59,62
"187",12,1,2,"both_high","0",52,"sub-003","sub-003",1,1,NA,1,0,1,1,NA,1,28,28,208,"out-group",28,12,"0",52,67
"188",24,2,4,"different","1",45,"sub-003","sub-003",4,5,0,NA,0,0,NA,0,NA,30,30,210,"out-group",30,24,"1",50,45
"189",21,2,1,"both_high","1",70,"sub-003","sub-003",1,1,NA,1,0,0,1,NA,1,31,31,211,"out-group",31,21,"1",49,70
"190",43,4,3,"both_low","1",24,"sub-003","sub-003",3,6,NA,1,0,0,-1,NA,1,32,32,212,"out-group",32,43,"1",38,24
"191",12,1,2,"both_high","1",63,"sub-003","sub-003",2,1,NA,0,0,0,1,NA,0,33,33,213,"out-group",33,12,"1",60,63
"192",41,4,1,"different","1",45,"sub-003","sub-003",1,3,1,NA,0,0,NA,1,NA,34,34,214,"out-group",34,41,"1",44,45
"193",13,1,3,"different","1",46,"sub-003","sub-003",3,2,0,NA,0,0,NA,0,NA,35,35,215,"out-group",35,13,"1",40,46
"194",32,3,2,"different","1",60,"sub-003","sub-003",2,4,1,NA,0,0,NA,1,NA,36,36,216,"out-group",36,32,"1",43,60
