"","stimuliShown","group_1","buttonBox_2.started","cross_sel.started","cross_slow.started","dur_fix","dur_selection","perceptual_result","block","stim1","stim2","response","rt","reward","ID","stim_chosen","typeOfChoice","highChosen","riskChosen","forced","choices","win","correct","risky","trial","trial_cont","trial_id","trial_n","trigger_integer","buttonBox_2.keys","participant","left_rew_dbl","right_rew_dbl"
"30",14,"underestimator",185.9053898,"186.7277716","None",133,158,"overestimator",1,"1","4","0",0.7526994,72,"sub-001",1,3,1,NA,0,1,NA,1,NA,30,30,30,30,14,"0","sub-001",72,49
"31",14,"underestimator",190.7219119,"191.3328367","None",169,158,"overestimator",1,"1","4","0",0.5410119,73,"sub-001",1,3,1,NA,0,1,NA,1,NA,31,31,31,31,14,"0","sub-001",73,40
"32",14,"underestimator",194.9981605,"195.5182035","None",129,150,"overestimator",1,"1","4","0",0.4520175,73,"sub-001",1,3,1,NA,0,1,NA,1,NA,32,32,32,32,14,"0","sub-001",73,40
"33",21,"underestimator",199.0393878,"None","200.6965622",121,NA,"overestimator",1,"2","1",NA,NA,42,"sub-001",0,1,NA,NA,0,NA,1,NA,NA,33,33,33,33,21,"None","sub-001",65,42
"34",24,"underestimator",203.1483514,"204.0898949","None",145,129,"overestimator",1,"2","4","0",0.8760802,57,"sub-001",2,5,1,NA,0,1,NA,1,NA,34,34,34,34,24,"0","sub-001",57,42
"35",41,"underestimator",207.7629533,"208.3943067","None",160,150,"overestimator",1,"4","1","1",0.5649249,85,"sub-001",1,3,1,NA,0,0,NA,1,NA,35,35,35,35,41,"1","sub-001",38,85
"36",31,"underestimator",212.0410826,"212.9166608","None",135,175,"overestimator",1,"3","1","1",0.8080419,72,"sub-001",1,2,1,NA,0,0,NA,1,NA,36,36,36,36,31,"1","sub-001",43,72
"37",42,"underestimator",216.7808853,"217.3888374","None",135,124,"overestimator",1,"4","2","1",0.5401535,57,"sub-001",2,5,1,NA,0,0,NA,1,NA,37,37,37,37,42,"1","sub-001",42,57
"38",24,"underestimator",220.9381278,"221.65267","None",150,123,"overestimator",1,"2","4","0",0.6482889,64,"sub-001",2,5,1,NA,0,1,NA,1,NA,38,38,38,38,24,"0","sub-001",64,45
"39",12,"underestimator",225.2290145,"226.4436408","None",152,123,"overestimator",1,"1","2","0",1.1493847,74,"sub-001",1,1,NA,1,0,1,1,NA,1,39,39,39,39,12,"0","sub-001",74,62
"40",34,"underestimator",230.1127826,"231.4949142","None",166,147,"overestimator",1,"3","4","1",1.314682,36,"sub-001",4,6,NA,0,0,0,-1,NA,0,40,40,40,40,34,"1","sub-001",53,36
"41",24,"underestimator",235.2701902,"236.6805118","None",155,138,"overestimator",1,"2","4","0",1.3426254,55,"sub-001",2,5,1,NA,0,1,NA,1,NA,41,41,41,41,24,"0","sub-001",55,45
"42",41,"underestimator",240.312963,"241.0215472","None",141,135,"overestimator",1,"4","1","1",0.6405912,78,"sub-001",1,3,1,NA,0,0,NA,1,NA,42,42,42,42,41,"1","sub-001",34,78
"43",12,"underestimator",244.454879,"244.9750577","None",123,124,"overestimator",1,"1","2","0",0.4447647,53,"sub-001",1,1,NA,1,0,1,1,NA,1,43,43,43,43,12,"0","sub-001",53,53
"44",21,"underestimator",248.4299286,"248.967857","None",140,151,"overestimator",1,"2","1","0",0.4669187,56,"sub-001",2,1,NA,0,0,1,1,NA,0,44,44,44,44,21,"0","sub-001",56,64
"45",14,"underestimator",252.6047577,"253.178047","None",132,124,"overestimator",1,"1","4","0",0.5013608,74,"sub-001",1,3,1,NA,0,1,NA,1,NA,45,45,45,45,14,"0","sub-001",74,39
"46",31,"underestimator",274.6713129,"276.0309919","None",140,151,"overestimator",1,"3","1","1",1.2899903,72,"sub-001",1,2,1,NA,0,0,NA,1,NA,46,46,46,46,31,"1","sub-001",52,72
"47",41,"underestimator",279.9769374,"280.6627773","None",170,167,"overestimator",1,"4","1","1",0.6167387,38,"sub-001",1,3,1,NA,0,0,NA,1,NA,47,47,47,47,41,"1","sub-001",42,38
"48",34,"underestimator",284.4131785,"None","286.0579549",130,NA,"overestimator",1,"3","4",NA,NA,39,"sub-001",0,6,NA,NA,0,NA,-1,NA,NA,48,48,48,48,34,"None","sub-001",37,39
"49",12,"underestimator",288.4174205,"289.4331028","None",136,166,"overestimator",1,"1","2","0",0.9512847,68,"sub-001",1,1,NA,1,0,1,1,NA,1,49,49,49,49,12,"0","sub-001",68,56
"50",42,"underestimator",293.4669584,"294.2635814","None",163,134,"overestimator",1,"4","2","1",0.7324723,58,"sub-001",2,5,1,NA,0,0,NA,1,NA,50,50,50,50,42,"1","sub-001",40,58
"51",24,"underestimator",297.8577775,"298.7230073","None",146,176,"overestimator",1,"2","4","0",0.8001976,57,"sub-001",2,5,1,NA,0,1,NA,1,NA,51,51,51,51,24,"0","sub-001",57,44
"52",42,"underestimator",302.5838052,"303.243611","None",136,170,"overestimator",1,"4","2","1",0.5965228,62,"sub-001",2,5,1,NA,0,0,NA,1,NA,52,52,52,52,42,"1","sub-001",43,62
"53",41,"underestimator",306.9509602,"307.4564013","None",123,154,"overestimator",1,"4","1","1",0.4414929,66,"sub-001",1,3,1,NA,0,0,NA,1,NA,53,53,53,53,41,"1","sub-001",42,66
"54",21,"underestimator",311.4337245,"311.9935661","None",172,163,"overestimator",1,"2","1","1",0.4955872,64,"sub-001",1,1,NA,1,0,0,1,NA,1,54,54,54,54,21,"1","sub-001",56,64
"55",32,"underestimator",315.9516948,"316.8274197","None",157,139,"overestimator",1,"3","2","1",0.8061451,55,"sub-001",2,4,1,NA,0,0,NA,1,NA,55,55,55,55,32,"1","sub-001",47,55
"56",32,"underestimator",320.4625995,"321.2372445","None",144,178,"overestimator",1,"3","2","1",0.7051103,58,"sub-001",2,4,1,NA,0,0,NA,1,NA,56,56,56,56,32,"1","sub-001",32,58
"57",42,"underestimator",325.4596455,"326.0281116","None",177,175,"overestimator",1,"4","2","1",0.5050029,54,"sub-001",2,5,1,NA,0,0,NA,1,NA,57,57,57,57,42,"1","sub-001",37,54
"58",31,"underestimator",329.7744976,"330.8160212","None",121,178,"overestimator",1,"3","1","1",0.9772421,56,"sub-001",1,2,1,NA,0,0,NA,1,NA,58,58,58,58,31,"1","sub-001",37,56
"59",13,"underestimator",334.7780469,"335.4019729","None",144,146,"overestimator",1,"1","3","0",0.5507575,75,"sub-001",1,2,1,NA,0,1,NA,1,NA,59,59,59,59,13,"0","sub-001",75,40
"60",41,"underestimator",339.1582364,"339.8929557","None",154,134,"overestimator",1,"4","1","1",0.6671437,84,"sub-001",1,3,1,NA,0,0,NA,1,NA,60,60,60,60,41,"1","sub-001",48,84
"61",24,"underestimator",343.6618219,"344.4538652","None",162,145,"overestimator",1,"2","4","0",0.7218842,52,"sub-001",2,5,1,NA,0,1,NA,1,NA,61,61,61,61,24,"0","sub-001",52,35
"62",23,"underestimator",348.2657546,"349.1724861","None",161,156,"overestimator",1,"2","3","0",0.8425871,60,"sub-001",2,4,1,NA,0,1,NA,1,NA,62,62,62,62,23,"0","sub-001",60,70
"63",43,"underestimator",353.2274612,"354.7606858","None",177,143,"overestimator",1,"4","3","0",1.4637801,47,"sub-001",4,6,NA,0,0,1,-1,NA,0,63,63,63,63,43,"0","sub-001",47,31
"64",24,"underestimator",358.6827741,"359.6813295","None",176,160,"overestimator",1,"2","4","0",0.9262606,57,"sub-001",2,5,1,NA,0,1,NA,1,NA,64,64,64,64,24,"0","sub-001",57,40
"65",13,"underestimator",363.5974547,"364.4911791","None",158,125,"overestimator",1,"1","3","0",0.829316,47,"sub-001",1,2,1,NA,0,1,NA,1,NA,65,65,65,65,13,"0","sub-001",47,51
"66",43,"underestimator",368.014322,"369.2779543","None",145,141,"overestimator",1,"4","3","0",1.1982517,36,"sub-001",4,6,NA,0,0,1,-1,NA,0,66,66,66,66,43,"0","sub-001",36,48
"67",12,"underestimator",373.0559234,"374.1735351","None",159,154,"overestimator",1,"1","2","0",1.0528156,91,"sub-001",1,1,NA,1,0,1,1,NA,1,67,67,67,67,12,"0","sub-001",91,61
"68",42,"underestimator",378.1885259,"379.274969","None",175,171,"overestimator",1,"4","2","1",1.0214802,59,"sub-001",2,5,1,NA,0,0,NA,1,NA,68,68,68,68,42,"1","sub-001",35,59
"69",14,"underestimator",383.064342,"383.7830541","None",132,146,"overestimator",1,"1","4","0",0.6539449,83,"sub-001",1,3,1,NA,0,1,NA,1,NA,69,69,69,69,14,"0","sub-001",83,39
"70",12,"underestimator",387.6379501,"388.3297738","None",162,153,"overestimator",1,"1","2","0",0.6280077,50,"sub-001",1,1,NA,1,0,1,1,NA,1,70,70,70,70,12,"0","sub-001",50,62
"71",12,"underestimator",392.1719815,"392.7158748","None",153,175,"overestimator",1,"1","2","0",0.4783943,78,"sub-001",1,1,NA,1,0,1,1,NA,1,71,71,71,71,12,"0","sub-001",78,54
"72",41,"underestimator",396.8166906,"397.5256093","None",166,121,"overestimator",1,"4","1","1",0.6390975,73,"sub-001",1,3,1,NA,0,0,NA,1,NA,72,72,72,72,41,"1","sub-001",43,73
"73",43,"underestimator",401.156044,"402.5436483","None",162,156,"overestimator",1,"4","3","0",1.3192807,52,"sub-001",4,6,NA,0,0,1,-1,NA,0,73,73,73,73,43,"0","sub-001",52,34
"74",21,"underestimator",406.5882693,"407.2969699","None",178,123,"overestimator",1,"2","1","1",0.6417917,76,"sub-001",1,1,NA,1,0,0,1,NA,1,74,74,74,74,21,"1","sub-001",49,76
"75",14,"underestimator",410.68209,"411.3891558","None",132,175,"overestimator",1,"1","4","0",0.642546,70,"sub-001",1,3,1,NA,0,1,NA,1,NA,75,75,75,75,14,"0","sub-001",70,39
"76",23,"underestimator",415.413212,"416.7352224","None",154,125,"overestimator",1,"2","3","0",1.2569858,65,"sub-001",2,4,1,NA,0,1,NA,1,NA,76,76,76,76,23,"0","sub-001",65,73
"77",31,"underestimator",420.4229274,"421.3653092","None",163,150,"overestimator",1,"3","1","1",0.8785051,30,"sub-001",1,2,1,NA,0,0,NA,1,NA,77,77,77,77,31,"1","sub-001",26,30
"78",24,"underestimator",425.040642,"426.3611362","None",140,170,"overestimator",1,"2","4","0",1.2537832,55,"sub-001",2,5,1,NA,0,1,NA,1,NA,78,78,78,78,24,"0","sub-001",55,38
"79",31,"underestimator",430.5212138,"431.1361031","None",178,122,"overestimator",1,"3","1","1",0.548802,54,"sub-001",1,2,1,NA,0,0,NA,1,NA,79,79,79,79,31,"1","sub-001",51,54
"80",41,"underestimator",434.5043038,"435.1411219","None",127,170,"overestimator",1,"4","1","1",0.5703513,90,"sub-001",1,3,1,NA,0,0,NA,1,NA,80,80,80,80,41,"1","sub-001",34,90
"81",24,"underestimator",439.0312793,"439.8109255","None",145,121,"overestimator",1,"2","4","0",0.7138653,63,"sub-001",2,5,1,NA,0,1,NA,1,NA,81,81,81,81,24,"0","sub-001",63,35
"82",41,"underestimator",443.5700925,"444.1347807","None",175,159,"overestimator",1,"4","1","1",0.4956996,88,"sub-001",1,3,1,NA,0,0,NA,1,NA,82,82,82,82,41,"1","sub-001",38,88
"83",41,"underestimator",448.2470964,"448.9206368","None",174,175,"overestimator",1,"4","1","1",0.6054255,64,"sub-001",1,3,1,NA,0,0,NA,1,NA,83,83,83,83,41,"1","sub-001",47,64
"84",13,"underestimator",452.7616251,"453.7098776","None",133,121,"overestimator",1,"1","3","0",0.8853673,27,"sub-001",1,2,1,NA,0,1,NA,1,NA,84,84,84,84,13,"0","sub-001",27,47
"85",12,"underestimator",457.3557205,"458.1045661","None",164,157,"overestimator",1,"1","2","0",0.6838652,55,"sub-001",1,1,NA,1,0,1,1,NA,1,85,85,85,85,12,"0","sub-001",55,54
"86",31,"underestimator",462.0955204,"462.704235","None",168,134,"overestimator",1,"3","1","1",0.5428181,66,"sub-001",1,2,1,NA,0,0,NA,1,NA,86,86,86,86,31,"1","sub-001",18,66
"87",34,"underestimator",466.3614229,"None","468.0011148",151,NA,"overestimator",1,"3","4",NA,NA,37,"sub-001",0,6,NA,NA,0,NA,-1,NA,NA,87,87,87,87,34,"None","sub-001",35,37
"88",23,"underestimator",470.5206435,"471.4421082","None",155,167,"overestimator",1,"2","3","1",0.853652,57,"sub-001",3,4,0,NA,0,0,NA,0,NA,88,88,88,88,23,"1","sub-001",55,57
"89",13,"underestimator",475.2271318,"476.3265658","None",135,138,"overestimator",1,"1","3","0",1.033392,60,"sub-001",1,2,1,NA,0,1,NA,1,NA,89,89,89,89,13,"0","sub-001",60,45
"90",34,"underestimator",480.1018688,"481.5130588","None",164,155,"overestimator",1,"3","4","1",1.345618,33,"sub-001",4,6,NA,0,0,0,-1,NA,0,90,90,90,90,34,"1","sub-001",59,33
"91",32,"underestimator",503.1587865,"504.4665185","None",134,156,"overestimator",1,"3","2","0",1.2420642,56,"sub-001",3,4,0,NA,0,1,NA,0,NA,91,91,91,91,32,"0","sub-001",56,54
"92",21,"underestimator",508.3344648,"509.289133","None",157,179,"overestimator",1,"2","1","1",0.8865238,83,"sub-001",1,1,NA,1,0,0,1,NA,1,92,92,92,92,21,"1","sub-001",65,83
"93",34,"underestimator",513.2933848,"514.5268199","None",147,173,"overestimator",1,"3","4","0",1.169815,20,"sub-001",3,6,NA,1,0,1,-1,NA,1,93,93,93,93,34,"0","sub-001",20,45
"94",23,"underestimator",518.3669646,"519.3982099","None",135,178,"overestimator",1,"2","3","0",0.9665508,48,"sub-001",2,4,1,NA,0,1,NA,1,NA,94,94,94,94,23,"0","sub-001",48,46
"95",13,"underestimator",523.2679601,"524.2034191","None",134,150,"overestimator",1,"1","3","0",0.8692212,72,"sub-001",1,2,1,NA,0,1,NA,1,NA,95,95,95,95,13,"0","sub-001",72,40
"96",42,"underestimator",528.2074946,"529.1404219","None",178,145,"overestimator",1,"4","2","1",0.8625346,55,"sub-001",2,5,1,NA,0,0,NA,1,NA,96,96,96,96,42,"1","sub-001",42,55
"97",43,"underestimator",532.9340844,"534.389023","None",158,156,"overestimator",1,"4","3","1",1.391733,25,"sub-001",3,6,NA,1,0,0,-1,NA,1,97,97,97,97,43,"1","sub-001",39,25
"98",23,"underestimator",538.0259481,"538.8623494","None",130,129,"overestimator",1,"2","3","0",0.7735356,62,"sub-001",2,4,1,NA,0,1,NA,1,NA,98,98,98,98,23,"0","sub-001",62,56
"99",12,"underestimator",542.6913395,"543.6771318","None",179,120,"overestimator",1,"1","2","0",0.9193007,41,"sub-001",1,1,NA,1,0,1,1,NA,1,99,99,99,99,12,"0","sub-001",41,54
"100",13,"underestimator",547.0336133,"547.7271368","None",129,121,"overestimator",1,"1","3","0",0.6297672,57,"sub-001",1,2,1,NA,0,1,NA,1,NA,100,100,100,100,13,"0","sub-001",57,27
"101",32,"underestimator",551.1324848,"552.1421411","None",135,166,"overestimator",1,"3","2","1",0.9460445,50,"sub-001",2,4,1,NA,0,0,NA,1,NA,101,101,101,101,32,"1","sub-001",50,50
"102",21,"underestimator",556.1663447,"556.7716904","None",163,156,"overestimator",1,"2","1","1",0.5374578,84,"sub-001",1,1,NA,1,0,0,1,NA,1,102,102,102,102,21,"1","sub-001",52,84
"103",34,"underestimator",560.5334855,"562.0484796","None",143,164,"overestimator",1,"3","4","1",1.4496764,41,"sub-001",4,6,NA,0,0,0,-1,NA,0,103,103,103,103,34,"1","sub-001",47,41
"104",34,"underestimator",565.7659188,"566.6916183","None",129,143,"overestimator",1,"3","4","1",0.8541636,36,"sub-001",4,6,NA,0,0,0,-1,NA,0,104,104,104,104,34,"1","sub-001",48,36
"105",31,"underestimator",570.3897001,"571.4152581","None",147,133,"overestimator",1,"3","1","1",0.9622808,75,"sub-001",1,2,1,NA,0,0,NA,1,NA,105,105,105,105,31,"1","sub-001",50,75
"106",14,"underestimator",574.9996032,"575.743069","None",146,134,"overestimator",1,"1","4","0",0.6787034,62,"sub-001",1,3,1,NA,0,1,NA,1,NA,106,106,106,106,14,"0","sub-001",62,42
"107",13,"underestimator",579.3156108,"580.0549017","None",142,176,"overestimator",1,"1","3","0",0.5986626,64,"sub-001",1,2,1,NA,0,1,NA,1,NA,107,107,107,107,13,"0","sub-001",64,59
"108",23,"underestimator",584.0351274,"585.4379987","None",150,169,"overestimator",1,"2","3","0",1.3382997,51,"sub-001",2,4,1,NA,0,1,NA,1,NA,108,108,108,108,23,"0","sub-001",51,38
"109",14,"underestimator",589.4299296,"590.2710125","None",158,120,"overestimator",1,"1","4","0",0.7757294,91,"sub-001",1,3,1,NA,0,1,NA,1,NA,109,109,109,109,14,"0","sub-001",91,28
"110",32,"underestimator",593.7960044,"595.0310171","None",153,150,"overestimator",1,"3","2","1",1.1698102,55,"sub-001",2,4,1,NA,0,0,NA,1,NA,110,110,110,110,32,"1","sub-001",47,55
"111",31,"underestimator",598.6140815,"599.5349136","None",128,153,"overestimator",1,"3","1","1",0.8565245,49,"sub-001",1,2,1,NA,0,0,NA,1,NA,111,111,111,111,31,"1","sub-001",7,49
"112",12,"underestimator",603.2732075,"603.9612181","None",144,141,"overestimator",1,"1","2","0",0.6236393,75,"sub-001",1,1,NA,1,0,1,1,NA,1,112,112,112,112,12,"0","sub-001",75,63
"113",23,"underestimator",607.4640606,"608.7414542","None",126,178,"overestimator",1,"2","3","0",1.2107402,60,"sub-001",2,4,1,NA,0,1,NA,1,NA,113,113,113,113,23,"0","sub-001",60,31
"114",43,"underestimator",612.5729766,"613.7682612","None",129,151,"overestimator",1,"4","3","0",1.1330066,40,"sub-001",4,6,NA,0,0,1,-1,NA,0,114,114,114,114,43,"0","sub-001",40,37
"115",41,"underestimator",617.4976052,"618.0761044","None",144,159,"overestimator",1,"4","1","1",0.5157945,60,"sub-001",1,3,1,NA,0,0,NA,1,NA,115,115,115,115,41,"1","sub-001",41,60
"116",23,"underestimator",621.7291947,"622.7299337","None",128,161,"overestimator",1,"2","3","0",0.9365388,59,"sub-001",2,4,1,NA,0,1,NA,1,NA,116,116,116,116,23,"0","sub-001",59,50
"117",31,"underestimator",626.5043462,"627.137055","None",141,178,"overestimator",1,"3","1","1",0.5658825,79,"sub-001",1,2,1,NA,0,0,NA,1,NA,117,117,117,117,31,"1","sub-001",49,79
"118",14,"underestimator",631.0065271,"631.5482245","None",135,126,"overestimator",1,"1","4","0",0.4772042,61,"sub-001",1,3,1,NA,0,1,NA,1,NA,118,118,118,118,14,"0","sub-001",61,48
"119",14,"underestimator",635.2144732,"635.906956","None",161,171,"overestimator",1,"1","4","0",0.6277713,88,"sub-001",1,3,1,NA,0,1,NA,1,NA,119,119,119,119,14,"0","sub-001",88,39
"120",31,"underestimator",639.7960926,"640.5000036","None",144,176,"overestimator",1,"3","1","1",0.6392262,81,"sub-001",1,2,1,NA,0,0,NA,1,NA,120,120,120,120,31,"1","sub-001",55,81
"121",14,"underestimator",644.5292212,"645.0419494","None",152,155,"overestimator",1,"1","4","0",0.4484522,97,"sub-001",1,3,1,NA,0,1,NA,1,NA,121,121,121,121,14,"0","sub-001",97,44
"122",12,"underestimator",648.8959278,"649.3618946","None",156,123,"overestimator",1,"1","2","0",0.4026893,53,"sub-001",1,1,NA,1,0,1,1,NA,1,122,122,122,122,12,"0","sub-001",53,51
"123",42,"underestimator",652.7110703,"653.9077256","None",126,163,"overestimator",1,"4","2","1",1.1307104,58,"sub-001",2,5,1,NA,0,0,NA,1,NA,123,123,123,123,42,"1","sub-001",44,58
"124",12,"underestimator",657.6858088,"658.2047822","None",134,128,"overestimator",1,"1","2","0",0.4538754,80,"sub-001",1,1,NA,1,0,1,1,NA,1,124,124,124,124,12,"0","sub-001",80,52
"125",12,"underestimator",661.6857938,"662.3067003","None",138,170,"overestimator",1,"1","2","0",0.556608,45,"sub-001",1,1,NA,1,0,1,1,NA,1,125,125,125,125,12,"0","sub-001",45,61
"126",21,"underestimator",666.3200349,"666.8014162","None",160,154,"overestimator",1,"2","1","1",0.416717,70,"sub-001",1,1,NA,1,0,0,1,NA,1,126,126,126,126,21,"1","sub-001",66,70
"127",34,"underestimator",670.7436589,"672.0259974","None",168,175,"overestimator",1,"3","4","1",1.2118769,36,"sub-001",4,6,NA,0,0,0,-1,NA,0,127,127,127,127,34,"1","sub-001",32,36
"128",13,"underestimator",675.8115894,"676.4293989","None",128,175,"overestimator",1,"1","3","0",0.5538585,81,"sub-001",1,2,1,NA,0,1,NA,1,NA,128,128,128,128,13,"0","sub-001",81,48
"129",42,"underestimator",680.2356269,"681.7263093","None",130,140,"overestimator",1,"4","2","1",1.4249596,56,"sub-001",2,5,1,NA,0,0,NA,1,NA,129,129,129,129,42,"1","sub-001",38,56
"130",24,"underestimator",685.2258618,"686.5315817","None",129,159,"overestimator",1,"2","4","0",1.2401356,63,"sub-001",2,5,1,NA,0,1,NA,1,NA,130,130,130,130,24,"0","sub-001",63,38
"131",21,"underestimator",690.534159,"691.0684211","None",171,151,"overestimator",1,"2","1","1",0.4684504,71,"sub-001",1,1,NA,1,0,0,1,NA,1,131,131,131,131,21,"1","sub-001",55,71
"132",31,"underestimator",694.6355616,"695.1274499","None",126,175,"overestimator",1,"3","1","1",0.428874,73,"sub-001",1,2,1,NA,0,0,NA,1,NA,132,132,132,132,31,"1","sub-001",41,73
"133",23,"underestimator",698.9360846,"699.7196361","None",130,132,"overestimator",1,"2","3","0",0.7168911,54,"sub-001",2,4,1,NA,0,1,NA,1,NA,133,133,133,133,23,"0","sub-001",54,34
"134",32,"underestimator",703.3029201,"704.3034485","None",148,151,"overestimator",1,"3","2","1",0.937037,56,"sub-001",2,4,1,NA,0,0,NA,1,NA,134,134,134,134,32,"1","sub-001",61,56
