"","stimuliShown","stim1","stim2","pair_type","response","reward","ID","participant","stim_chosen","typeOfChoice","highChosen","riskChosen","forced","choices","win","correct","risky","block_soc","trial_n","trigger_integer","eye_choice","left_rew_dbl","right_rew_dbl"
"40",32,3,2,"different","0",50,1,"sub-003",3,4,0,0,0,1,-1,0,0,"baseline",40,32,"0",50,64
"41",12,1,2,"both_high","0",31,1,"sub-003",1,1,0,1,0,1,1,0,1,"baseline",41,12,"0",31,57
"42",24,2,4,"different","0",70,1,"sub-003",2,5,1,1,0,1,1,1,1,"baseline",42,24,"0",70,36
"43",41,4,1,"different","1",83,1,"sub-003",1,3,1,1,0,0,1,1,1,"baseline",43,41,"1",29,83
"44",34,3,4,"both_low","1",41,1,"sub-003",4,6,1,0,0,0,-1,1,0,"baseline",44,34,"1",25,41
"45",12,1,2,"both_high","1",61,1,"sub-003",2,1,1,0,0,0,1,1,0,"baseline",45,12,"1",51,61
"46",12,1,2,"both_high","1",61,1,"sub-003",2,1,1,0,0,0,1,1,0,"baseline",45,12,"1",51,61
"47",34,3,4,"both_low","1",42,1,"sub-003",4,6,1,0,0,0,-1,1,0,"baseline",47,34,"1",38,42
"48",34,3,4,"both_low","1",42,1,"sub-003",4,6,1,0,0,0,-1,1,0,"baseline",47,34,"1",38,42
"49",34,3,4,"both_low","1",42,1,"sub-003",4,6,1,0,0,0,-1,1,0,"baseline",47,34,"1",38,42
"50",34,3,4,"both_low","1",42,1,"sub-003",4,6,1,0,0,0,-1,1,0,"baseline",47,34,"1",38,42
"51",34,3,4,"both_low","1",42,1,"sub-003",4,6,1,0,0,0,-1,1,0,"baseline",47,34,"1",38,42
"52",34,3,4,"both_low","1",42,1,"sub-003",4,6,1,0,0,0,-1,1,0,"baseline",47,34,"1",38,42
"53",42,4,2,"different","1",65,1,"sub-003",2,5,1,0,0,0,-1,1,0,"baseline",53,42,"1",46,65
"54",34,3,4,"both_low","1",39,1,"sub-003",4,6,1,0,0,0,-1,1,0,"baseline",54,34,"1",36,39
"55",34,3,4,"both_low","1",46,1,"sub-003",4,6,1,0,0,0,-1,1,0,"baseline",55,34,"1",7,46
"56",32,3,2,"different","1",64,1,"sub-003",2,4,1,0,0,0,-1,1,0,"baseline",56,32,"1",39,64
"57",32,3,2,"different","1",55,1,"sub-003",2,4,1,0,0,0,-1,1,0,"baseline",57,32,"1",71,55
"58",24,2,4,"different","1",44,1,"sub-003",4,5,0,0,0,0,-1,0,0,"baseline",58,24,"1",59,44
"59",13,1,3,"different","1",63,1,"sub-003",3,2,0,0,0,0,-1,0,0,"baseline",59,13,"1",65,63
"60",32,3,2,"different","1",65,1,"sub-003",2,4,1,0,0,0,-1,1,0,"baseline",60,32,"1",23,65
"61",13,1,3,"different","1",59,1,"sub-003",3,2,0,0,0,0,-1,0,0,"baseline",61,13,"1",52,59
"62",31,3,1,"different","1",80,1,"sub-003",1,2,1,0,0,0,-1,1,0,"baseline",62,31,"1",38,80
"63",24,2,4,"different","1",39,1,"sub-003",4,5,0,0,0,0,-1,0,0,"baseline",63,24,"1",68,39
"64",21,2,1,"both_high","1",59,1,"sub-003",1,1,0,1,0,0,1,0,1,"baseline",64,21,"1",54,59
"65",31,3,1,"different","0",23,1,"sub-003",3,2,0,1,0,1,1,0,1,"baseline",65,31,"0",23,34
"66",32,3,2,"different","0",41,1,"sub-003",3,4,0,1,0,1,1,0,1,"baseline",66,32,"0",41,63
"67",42,4,2,"different","1",62,1,"sub-003",2,5,1,1,0,0,1,1,1,"baseline",67,42,"1",37,62
"68",42,4,2,"different","1",62,1,"sub-003",2,5,1,1,0,0,1,1,1,"baseline",67,42,"1",37,62
"69",42,4,2,"different","1",62,1,"sub-003",2,5,1,1,0,0,1,1,1,"baseline",67,42,"1",37,62
"70",42,4,2,"different","1",62,1,"sub-003",2,5,1,1,0,0,1,1,1,"baseline",67,42,"1",37,62
"71",41,4,1,"different","1",48,1,"sub-003",1,3,1,1,0,0,1,1,1,"baseline",71,41,"1",33,48
"72",31,3,1,"different","0",25,1,"sub-003",3,2,0,1,0,1,1,0,1,"baseline",72,31,"0",25,65
"73",43,4,3,"both_low","1",36,1,"sub-003",3,6,0,1,0,0,-1,0,1,"baseline",73,43,"1",45,36
"74",12,1,2,"both_high","1",58,1,"sub-003",2,1,0,0,0,0,1,0,0,"baseline",74,12,"1",48,58
"75",43,4,3,"both_low","1",20,1,"sub-003",3,6,0,1,0,0,-1,0,1,"baseline",75,43,"1",49,20
"76",23,2,3,"different","1",18,1,"sub-003",3,4,0,1,0,0,-1,0,1,"baseline",76,23,"1",62,18
"77",41,4,1,"different","1",58,1,"sub-003",1,3,1,1,0,0,-1,1,1,"baseline",77,41,"1",31,58
"78",13,1,3,"different","1",64,1,"sub-003",3,2,0,1,0,0,-1,0,1,"baseline",78,13,"1",67,64
"79",41,4,1,"different","0",42,1,"sub-003",4,3,0,1,0,1,-1,0,1,"baseline",79,41,"0",42,57
"80",34,3,4,"both_low","1",47,1,"sub-003",4,6,0,0,0,0,-1,0,0,"baseline",80,34,"1",37,47
"81",34,3,4,"both_low","1",30,1,"sub-003",4,6,0,0,0,0,-1,0,0,"baseline",81,34,"1",12,30
"82",21,2,1,"both_high","0",67,1,"sub-003",2,1,0,0,0,1,1,0,0,"baseline",82,21,"0",67,43
"83",14,1,4,"different","1",32,1,"sub-003",4,3,0,0,0,0,1,0,0,"baseline",83,14,"1",56,32
"84",32,3,2,"different","1",60,1,"sub-003",2,4,1,0,0,0,1,1,0,"baseline",84,32,"1",67,60
"85",32,3,2,"different","1",60,1,"sub-003",2,4,1,0,0,0,1,1,0,"baseline",84,32,"1",67,60
"86",31,3,1,"different","1",77,1,"sub-003",1,2,1,0,0,0,1,1,0,"baseline",86,31,"1",24,77
"87",32,3,2,"different","1",61,1,"sub-003",2,4,1,0,0,0,1,1,0,"baseline",87,32,"1",50,61
"88",12,1,2,"both_high","1",63,1,"sub-003",2,1,1,0,0,0,1,1,0,"baseline",88,12,"1",87,63
"89",21,2,1,"both_high","1",64,1,"sub-003",1,1,1,1,0,0,1,1,1,"baseline",89,21,"1",68,64
"90",12,1,2,"both_high","1",63,1,"sub-003",2,1,1,0,0,0,1,1,0,"baseline",90,12,"1",61,63
"91",23,2,3,"different","0",57,1,"sub-003",2,4,1,0,0,1,1,1,0,"baseline",91,23,"0",57,46
"92",41,4,1,"different","0",44,1,"sub-003",4,3,0,0,0,1,1,0,0,"baseline",92,41,"0",44,73
"93",42,4,2,"different","0",37,1,"sub-003",4,5,0,0,0,1,1,0,0,"baseline",93,42,"0",37,67
"94",23,2,3,"different","1",27,1,"sub-003",3,4,0,0,0,0,1,0,0,"baseline",94,23,"1",66,27
"95",43,4,3,"both_low","1",42,1,"sub-003",3,6,0,1,0,0,-1,0,1,"baseline",95,43,"1",44,42
"96",23,2,3,"different","0",54,1,"sub-003",2,4,1,1,0,1,-1,1,1,"baseline",96,23,"0",54,31
"97",14,1,4,"different","0",77,1,"sub-003",1,3,1,1,0,1,-1,1,1,"baseline",97,14,"0",77,31
"98",13,1,3,"different","0",57,1,"sub-003",1,2,1,1,0,1,-1,1,1,"baseline",98,13,"0",57,34
"99",42,4,2,"different","0",37,1,"sub-003",4,5,0,1,0,1,-1,0,1,"baseline",99,42,"0",37,57
"100",12,1,2,"both_high","1",50,1,"sub-003",2,1,0,0,0,0,1,0,0,"baseline",100,12,"1",66,50
"101",41,4,1,"different","1",73,1,"sub-003",1,3,1,0,0,0,1,1,0,"baseline",101,41,"1",32,73
"102",23,2,3,"different","0",66,1,"sub-003",2,4,1,0,0,1,1,1,0,"baseline",102,23,"0",66,61
"103",24,2,4,"different","1",38,1,"sub-003",4,5,0,0,0,0,1,0,0,"baseline",103,24,"1",62,38
"104",14,1,4,"different","1",41,1,"sub-003",4,3,0,0,0,0,1,0,0,"baseline",104,14,"1",91,41
"105",43,4,3,"both_low","1",18,1,"sub-003",3,6,0,1,0,0,-1,0,1,"baseline",105,43,"1",46,18
"106",34,3,4,"both_low","1",50,1,"sub-003",4,6,0,0,0,0,-1,0,0,"baseline",106,34,"1",22,50
"107",31,3,1,"different","1",81,1,"sub-003",1,2,1,0,0,0,-1,1,0,"baseline",107,31,"1",46,81
"108",43,4,3,"both_low","1",49,1,"sub-003",3,6,1,1,0,0,-1,1,1,"baseline",108,43,"1",36,49
"109",31,3,1,"different","1",38,1,"sub-003",1,2,1,1,0,0,-1,1,1,"baseline",109,31,"1",21,38
"110",21,2,1,"both_high","1",59,1,"sub-003",1,1,1,1,0,0,1,1,1,"baseline",110,21,"1",68,59
"111",42,4,2,"different","0",38,1,"sub-003",4,5,0,1,0,1,1,0,1,"baseline",111,42,"0",38,54
"112",43,4,3,"both_low","0",36,1,"sub-003",4,6,0,0,0,1,-1,0,0,"baseline",112,43,"0",36,43
"113",43,4,3,"both_low","0",36,1,"sub-003",4,6,0,0,0,1,-1,0,0,"baseline",112,43,"0",36,43
"114",34,3,4,"both_low","1",42,1,"sub-003",4,6,0,0,0,0,-1,0,0,"baseline",114,34,"1",66,42
"115",43,4,3,"both_low","1",44,1,"sub-003",3,6,0,1,0,0,-1,0,1,"baseline",115,43,"1",48,44
"116",14,1,4,"different","1",40,1,"sub-003",4,3,0,1,0,0,-1,0,1,"baseline",116,14,"1",61,40
"117",13,1,3,"different","0",42,1,"sub-003",1,2,1,1,0,1,-1,1,1,"baseline",117,13,"0",42,48
"118",24,2,4,"different","1",32,1,"sub-003",4,5,0,1,0,0,-1,0,1,"baseline",118,24,"1",52,32
"119",42,4,2,"different","1",58,1,"sub-003",2,5,1,1,0,0,-1,1,1,"baseline",119,42,"1",34,58
"120",21,2,1,"both_high","0",51,1,"sub-003",2,1,1,0,0,1,1,1,0,"baseline",120,21,"0",51,58
"121",41,4,1,"different","1",41,1,"sub-003",1,3,1,0,0,0,1,1,0,"baseline",121,41,"1",43,41
"122",13,1,3,"different","1",33,1,"sub-003",3,2,0,0,0,0,1,0,0,"baseline",122,13,"1",49,33
"123",24,2,4,"different","1",40,1,"sub-003",4,5,0,0,0,0,1,0,0,"baseline",123,24,"1",55,40
"124",43,4,3,"both_low","1",42,1,"sub-003",3,6,0,1,0,0,-1,0,1,"baseline",124,43,"1",40,42
"125",23,2,3,"different","1",62,1,"sub-003",3,4,0,1,0,0,-1,0,1,"baseline",125,23,"1",59,62
"126",23,2,3,"different","0",55,1,"sub-003",2,4,1,1,0,1,-1,1,1,"baseline",126,23,"0",55,35
"127",21,2,1,"both_high","1",60,1,"sub-003",1,1,1,1,0,0,1,1,1,"baseline",127,21,"1",60,60
"128",43,4,3,"both_low","1",62,1,"sub-003",3,6,1,1,0,0,-1,1,1,"baseline",128,43,"1",43,62
"129",23,2,3,"different","0",63,1,"sub-003",2,4,1,1,0,1,-1,1,1,"baseline",129,23,"0",63,26
"130",41,4,1,"different","1",63,1,"sub-003",1,3,1,1,0,0,-1,1,1,"baseline",130,41,"1",43,63
"131",12,1,2,"both_high","0",45,1,"sub-003",1,1,1,1,0,1,1,1,1,"baseline",131,12,"0",45,59
"132",13,1,3,"different","0",82,1,"sub-003",1,2,1,1,0,1,1,1,1,"baseline",132,13,"0",82,53
"133",32,3,2,"different","1",64,1,"sub-003",2,4,1,1,0,0,1,1,1,"baseline",133,32,"1",73,64
"134",43,4,3,"both_low","1",32,1,"sub-003",3,6,1,1,0,0,-1,1,1,"baseline",134,43,"1",45,32
"135",14,1,4,"different","1",34,1,"sub-003",4,3,0,1,0,0,-1,0,1,"baseline",135,14,"1",52,34
"136",14,1,4,"different","1",34,1,"sub-003",4,3,0,1,0,0,-1,0,1,"baseline",135,14,"1",52,34
"137",43,4,3,"both_low","1",55,1,"sub-003",3,6,0,1,0,0,-1,0,1,"baseline",137,43,"1",45,55
"138",24,2,4,"different","1",51,1,"sub-003",4,5,0,1,0,0,-1,0,1,"baseline",138,24,"1",58,51
"139",21,2,1,"both_high","1",27,1,"sub-003",1,1,0,1,0,0,1,0,1,"baseline",139,21,"1",61,27
"140",24,2,4,"different","1",41,1,"sub-003",4,5,0,1,0,0,1,0,1,"baseline",140,24,"1",51,41
"141",24,2,4,"different","1",35,1,"sub-003",4,5,0,1,0,0,1,0,1,"baseline",141,24,"1",65,35
"142",21,2,1,"both_high","1",70,1,"sub-003",1,1,0,1,0,0,1,0,1,"baseline",142,21,"1",71,70
"143",31,3,1,"different","1",71,1,"sub-003",1,2,1,1,0,0,1,1,1,"baseline",143,31,"1",55,71
"144",43,4,3,"both_low","1",16,1,"sub-003",3,6,1,1,0,0,-1,1,1,"baseline",144,43,"1",34,16
"145",32,3,2,"different","1",62,1,"sub-003",2,4,1,1,0,0,-1,1,1,"baseline",145,32,"1",35,62
"146",32,3,2,"different","1",72,1,"sub-003",2,4,1,1,0,0,-1,1,1,"baseline",146,32,"1",49,72
"147",43,4,3,"both_low","0",36,1,"sub-003",4,6,1,0,0,1,-1,1,0,"baseline",147,43,"0",36,11
"148",31,3,1,"different","0",56,1,"sub-003",3,2,0,0,0,1,-1,0,0,"baseline",148,31,"0",56,56
"149",24,2,4,"different","1",38,1,"sub-003",4,5,0,0,0,0,-1,0,0,"baseline",149,24,"1",53,38
"150",21,2,1,"both_high","1",53,1,"sub-003",1,1,0,1,0,0,1,0,1,"baseline",150,21,"1",56,53
"151",41,4,1,"different","1",69,1,"sub-003",1,3,1,1,0,0,1,1,1,"baseline",151,41,"1",43,69
"152",42,4,2,"different","1",56,1,"sub-003",2,5,1,1,0,0,1,1,1,"baseline",152,42,"1",38,56
"153",42,4,2,"different","0",48,1,"sub-003",4,5,0,1,0,1,1,0,1,"baseline",153,42,"0",48,53
"154",32,3,2,"different","0",41,1,"sub-003",3,4,0,1,0,1,1,0,1,"baseline",154,32,"0",41,60
"155",23,2,3,"different","1",19,1,"sub-003",3,4,0,1,0,0,1,0,1,"baseline",155,23,"1",54,19
"156",13,1,3,"different","1",40,1,"sub-003",3,2,0,1,0,0,1,0,1,"baseline",156,13,"1",68,40
"157",34,3,4,"both_low","1",39,1,"sub-003",4,6,0,0,0,0,-1,0,0,"baseline",157,34,"1",28,39
"158",14,1,4,"different","0",54,1,"sub-003",1,3,1,0,0,1,-1,1,0,"baseline",158,14,"0",54,42
"159",14,1,4,"different","0",55,1,"sub-003",1,3,1,0,0,1,-1,1,0,"baseline",159,14,"0",55,39
"160",12,1,2,"both_high","1",56,1,"sub-003",2,1,1,0,0,0,1,1,0,"baseline",160,12,"1",72,56
"161",23,2,3,"different","1",69,1,"sub-003",3,4,0,0,0,0,1,0,0,"baseline",161,23,"1",49,69
"162",34,3,4,"both_low","0",68,1,"sub-003",3,6,0,1,0,1,-1,0,1,"baseline",162,34,"0",68,33
"163",14,1,4,"different","1",42,1,"sub-003",4,3,0,1,0,0,-1,0,1,"baseline",163,14,"1",32,42
"164",43,4,3,"both_low","1",34,1,"sub-003",3,6,0,1,0,0,-1,0,1,"baseline",164,43,"1",49,34
"165",23,2,3,"different","1",40,1,"sub-003",3,4,0,1,0,0,-1,0,1,"baseline",165,23,"1",61,40
"166",31,3,1,"different","1",33,1,"sub-003",1,2,1,1,0,0,-1,1,1,"baseline",166,31,"1",31,33
"167",12,1,2,"both_high","1",59,1,"sub-003",2,1,1,0,0,0,1,1,0,"baseline",167,12,"1",93,59
"168",41,4,1,"different","1",70,1,"sub-003",1,3,1,0,0,0,1,1,0,"baseline",168,41,"1",46,70
"169",21,2,1,"both_high","1",62,1,"sub-003",1,1,1,1,0,0,1,1,1,"baseline",169,21,"1",58,62
"170",32,3,2,"different","1",50,1,"sub-003",2,4,1,1,0,0,1,1,1,"baseline",170,32,"1",39,50
"171",24,2,4,"different","1",41,1,"sub-003",4,5,0,1,0,0,1,0,1,"baseline",171,24,"1",66,41
"172",42,4,2,"different","0",43,1,"sub-003",4,5,0,1,0,1,1,0,1,"baseline",172,42,"0",43,67
"173",24,2,4,"different","1",30,1,"sub-003",4,5,0,1,0,0,1,0,1,"baseline",173,24,"1",56,30
"174",23,2,3,"different","1",9,1,"sub-003",3,4,0,1,0,0,1,0,1,"baseline",174,23,"1",55,9
"175",31,3,1,"different","1",82,1,"sub-003",1,2,1,1,0,0,1,1,1,"baseline",175,31,"1",28,82
"176",32,3,2,"different","1",69,1,"sub-003",2,4,1,1,0,0,1,1,1,"baseline",176,32,"1",52,69
"177",34,3,4,"both_low","1",28,1,"sub-003",4,6,1,0,0,0,-1,1,0,"baseline",177,34,"1",57,28
"178",42,4,2,"different","1",52,1,"sub-003",2,5,1,0,0,0,-1,1,0,"baseline",178,42,"1",40,52
"179",41,4,1,"different","1",45,1,"sub-003",1,3,1,0,0,0,-1,1,0,"baseline",179,41,"1",36,45
"180",12,1,2,"both_high","0",39,1,"sub-003",1,1,1,1,0,1,1,1,1,"baseline",180,12,"0",39,57
"181",43,4,3,"both_low","1",67,1,"sub-003",3,6,1,1,0,0,-1,1,1,"out-group",1,43,"1",37,67
"182",42,4,2,"different","1",55,1,"sub-003",2,5,1,1,0,0,-1,1,1,"out-group",2,42,"1",47,55
"183",42,4,2,"different","1",55,1,"sub-003",2,5,1,1,0,0,-1,1,1,"out-group",2,42,"1",47,55
"184",42,4,2,"different","1",55,1,"sub-003",2,5,1,1,0,0,-1,1,1,"out-group",2,42,"1",47,55
"185",21,2,1,"both_high","1",42,1,"sub-003",1,1,1,1,0,0,1,1,1,"out-group",5,21,"1",63,42
"186",24,2,4,"different","0",55,1,"sub-003",2,5,1,1,0,1,1,1,1,"out-group",6,24,"0",55,42
"187",41,4,1,"different","1",54,1,"sub-003",1,3,1,1,0,0,1,1,1,"out-group",7,41,"1",47,54
"188",32,3,2,"different","1",71,1,"sub-003",2,4,1,1,0,0,1,1,1,"out-group",8,32,"1",29,71
"189",32,3,2,"different","1",71,1,"sub-003",2,4,1,1,0,0,1,1,1,"out-group",8,32,"1",29,71
"190",41,4,1,"different","1",77,1,"sub-003",1,3,1,1,0,0,1,1,1,"out-group",10,41,"1",47,77
"191",31,3,1,"different","0",69,1,"sub-003",3,2,0,1,0,1,1,0,1,"out-group",11,31,"0",69,62
"192",14,1,4,"different","1",36,1,"sub-003",4,3,0,1,0,0,1,0,1,"out-group",12,14,"1",65,36
"193",24,2,4,"different","1",37,1,"sub-003",4,5,0,1,0,0,1,0,1,"out-group",13,24,"1",60,37
"194",42,4,2,"different","1",56,1,"sub-003",2,5,1,1,0,0,1,1,1,"out-group",14,42,"1",34,56
"195",31,3,1,"different","0",37,1,"sub-003",3,2,0,1,0,1,1,0,1,"out-group",15,31,"0",37,72
"196",41,4,1,"different","0",29,1,"sub-003",4,3,0,1,0,1,1,0,1,"out-group",16,41,"0",29,43
"197",13,1,3,"different","1",35,1,"sub-003",3,2,0,1,0,0,1,0,1,"out-group",17,13,"1",64,35
"198",31,3,1,"different","1",70,1,"sub-003",1,2,1,1,0,0,1,1,1,"out-group",18,31,"1",19,70
"199",24,2,4,"different","0",64,1,"sub-003",2,5,1,1,0,1,1,1,1,"out-group",19,24,"0",64,41
"200",23,2,3,"different","1",37,1,"sub-003",3,4,0,1,0,0,1,0,1,"out-group",20,23,"1",57,37
"201",13,1,3,"different","0",48,1,"sub-003",1,2,1,1,0,1,1,1,1,"out-group",21,13,"0",48,55
"202",14,1,4,"different","1",50,1,"sub-003",4,3,0,1,0,0,1,0,1,"out-group",22,14,"1",43,50
"203",14,1,4,"different","1",50,1,"sub-003",4,3,0,1,0,0,1,0,1,"out-group",22,14,"1",43,50
"204",14,1,4,"different","1",50,1,"sub-003",4,3,0,1,0,0,1,0,1,"out-group",22,14,"1",43,50
"205",32,3,2,"different","0",34,1,"sub-003",3,4,0,1,0,1,1,0,1,"out-group",25,32,"0",34,66
"206",14,1,4,"different","1",40,1,"sub-003",4,3,0,1,0,0,1,0,1,"out-group",26,14,"1",87,40
"207",23,2,3,"different","1",62,1,"sub-003",3,4,0,1,0,0,1,0,1,"out-group",27,23,"1",59,62
"208",12,1,2,"both_high","0",52,1,"sub-003",1,1,0,1,0,1,1,0,1,"out-group",28,12,"0",52,67
"209",12,1,2,"both_high","0",52,1,"sub-003",1,1,0,1,0,1,1,0,1,"out-group",28,12,"0",52,67
"210",24,2,4,"different","1",45,1,"sub-003",4,5,0,1,0,0,1,0,1,"out-group",30,24,"1",50,45
"211",21,2,1,"both_high","1",70,1,"sub-003",1,1,0,1,0,0,1,0,1,"out-group",31,21,"1",49,70
"212",43,4,3,"both_low","1",24,1,"sub-003",3,6,0,1,0,0,-1,0,1,"out-group",32,43,"1",38,24
"213",12,1,2,"both_high","1",63,1,"sub-003",2,1,0,0,0,0,1,0,0,"out-group",33,12,"1",60,63
"214",41,4,1,"different","1",45,1,"sub-003",1,3,1,0,0,0,1,1,0,"out-group",34,41,"1",44,45
"215",13,1,3,"different","1",46,1,"sub-003",3,2,0,0,0,0,1,0,0,"out-group",35,13,"1",40,46
"216",32,3,2,"different","1",60,1,"sub-003",2,4,1,0,0,0,1,1,0,"out-group",36,32,"1",43,60
"217",32,3,2,"different","1",59,1,"sub-003",2,4,1,0,0,0,1,1,0,"out-group",37,32,"1",16,59
"218",34,3,4,"both_low","1",36,1,"sub-003",4,6,1,0,0,0,-1,1,0,"out-group",38,34,"1",41,36
"219",42,4,2,"different","1",55,1,"sub-003",2,5,1,0,0,0,-1,1,0,"out-group",39,42,"1",41,55
"220",32,3,2,"different","0",14,1,"sub-003",3,4,0,0,0,1,-1,0,0,"out-group",40,32,"0",14,58
"221",32,3,2,"different","0",14,1,"sub-003",3,4,0,0,0,1,-1,0,0,"out-group",40,32,"0",14,58
"222",32,3,2,"different","0",14,1,"sub-003",3,4,0,0,0,1,-1,0,0,"out-group",40,32,"0",14,58
"223",32,3,2,"different","0",14,1,"sub-003",3,4,0,0,0,1,-1,0,0,"out-group",40,32,"0",14,58
"224",32,3,2,"different","0",14,1,"sub-003",3,4,0,0,0,1,-1,0,0,"out-group",40,32,"0",14,58
"225",32,3,2,"different","0",14,1,"sub-003",3,4,0,0,0,1,-1,0,0,"out-group",40,32,"0",14,58
"226",32,3,2,"different","0",14,1,"sub-003",3,4,0,0,0,1,-1,0,0,"out-group",40,32,"0",14,58
"227",32,3,2,"different","0",14,1,"sub-003",3,4,0,0,0,1,-1,0,0,"out-group",40,32,"0",14,58
"228",34,3,4,"both_low","0",22,1,"sub-003",3,6,0,1,0,1,-1,0,1,"out-group",48,34,"0",22,35
"229",31,3,1,"different","0",56,1,"sub-003",3,2,0,1,0,1,-1,0,1,"out-group",49,31,"0",56,86
"230",13,1,3,"different","0",58,1,"sub-003",1,2,1,1,0,1,-1,1,1,"out-group",50,13,"0",58,64
"231",42,4,2,"different","0",44,1,"sub-003",4,5,0,1,0,1,-1,0,1,"out-group",51,42,"0",44,54
"232",41,4,1,"different","1",78,1,"sub-003",1,3,1,1,0,0,-1,1,1,"out-group",52,41,"1",35,78
